phase,threshold,coverage,epe,gain,harmful_selected_fraction
test,0.2,0.08726852387189865,0.19872671365737915,-0.010821431875228882,0.06454464793205261
test,0.4,0.07727623730897903,0.19867101311683655,-0.01076573133468628,0.07289066165685654
test,0.6,0.03225308656692505,0.19553668797016144,-0.007631406188011169,0.17224881052970886
test,0.8,0.017515432089567184,0.19350017607212067,-0.005594894289970398,0.2907488942146301
test,0.0,0.15219907462596893,0.1918494552373886,-0.007316574454307556,0.03447401896119118
test,0.01,0.10111883282661438,0.19183950126171112,-0.007306620478630066,0.051888592541217804
test,0.05,0.09440586715936661,0.19180019199848175,-0.007267311215400696,0.05557825788855553
test,0.1,0.09070216119289398,0.19179660081863403,-0.0072637200355529785,0.05784772336483002
test,0.2,0.0857253149151802,0.19173771142959595,-0.007204830646514893,0.06120612099766731
test,0.4,0.07635030895471573,0.1913289576768875,-0.0067960768938064575,0.06821627169847488
test,0.6,0.03302469104528427,0.18769995868206024,-0.003167077898979187,0.15537382662296295
test,0.8,0.014621914364397526,0.18693651258945465,-0.002403631806373596,0.2585752010345459
test,0.0,0.15459105372428894,0.18933825194835663,-0.016779586672782898,0.06663338840007782
test,0.01,0.10223765671253204,0.18933820724487305,-0.016779541969299316,0.10075471550226212
test,0.05,0.09564043581485748,0.1893416941165924,-0.016783028841018677,0.10770472139120102
test,0.1,0.09143518656492233,0.18935486674308777,-0.016796201467514038,0.11265822499990463
test,0.2,0.08487654477357864,0.18938814103603363,-0.0168294757604599,0.12136363983154297
test,0.4,0.07087191939353943,0.18965929746627808,-0.017100632190704346,0.14534567296504974
test,0.6,0.027662038803100586,0.19117166101932526,-0.018612995743751526,0.3723849356174469
test,0.8,0.014699074439704418,0.19068339467048645,-0.01812472939491272,0.6745406985282898
test,0.0,0.1615740805864334,0.1796378344297409,-0.022175997495651245,0.06733524054288864
test,0.01,0.10775463283061981,0.1796341985464096,-0.022172361612319946,0.10096669942140579
test,0.05,0.1030864268541336,0.17963725328445435,-0.022175416350364685,0.10553891956806183
test,0.1,0.09930556267499924,0.17960189282894135,-0.022140055894851685,0.10955710709095001
test,0.2,0.09456019103527069,0.1796674132347107,-0.022205576300621033,0.11505507677793503
test,0.4,0.08302469551563263,0.179890975356102,-0.02242913842201233,0.13104088604450226
test,0.6,0.03020833432674408,0.1769353300333023,-0.019473493099212646,0.35887610912323
test,0.8,0.016087964177131653,0.17619803547859192,-0.01873619854450226,0.6522781848907471
test,0.0,0.16250000894069672,0.15786482393741608,-0.0009724050760269165,0.0011870844755321741
test,0.01,0.09687500447034836,0.15786540508270264,-0.0009729862213134766,0.001991238445043564
test,0.05,0.08858025074005127,0.1578664630651474,-0.0009740442037582397,0.002177700400352478
test,0.1,0.08468364924192429,0.15789148211479187,-0.00099906325340271,0.002277904422953725
test,0.2,0.0783950686454773,0.15788766741752625,-0.000995248556137085,0.0024606299120932817
test,0.4,0.0677083358168602,0.15794230997562408,-0.0010498911142349243,0.0028490028344094753
